mTurkCode,HDD_P,Flash_P,Tcards_P,GPS_P,Novel_P,Headphones_P,Perfume_P,Sunglasses_P,Vgame_P,DVD_P,Software_P,Supplement_P,Cosmetics_P,HDD_A,Flash_A,Tcards_A,GPS_A,Novel_A,Headphones_A,Perfume_A,Sunglasses_A,Vgame_A,DVD_A,Software_A,Supplement_A,Cosmetics_A
89442,8,7,8,7,8,7,8,7,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
34626,6,6,3,6,6,6,5,6,7,6,7,5,6,8,8,8,8,8,8,6,8,8,8,8,8,8
68868,5,5,9,3,1,2,5,6,9,9,5,1,1,7,7,9,6,5,8,9,9,9,9,7,5,1
70438,9,9,3,9,9,2,1,1,9,9,9,9,1,9,9,4,9,9,9,9,3,9,9,9,9,7
31644,9,9,1,4,9,5,1,7,6,1,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9
58256,7,7,7,5,5,5,3,3,8,8,8,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7
31753,8,9,4,5,8,2,1,2,5,1,5,1,1,9,9,7,9,9,9,9,9,9,9,9,9,9
98474,4,5,8,4,7,4,3,6,8,5,4,1,1,7,8,9,9,9,9,8,8,9,9,9,1,5
90742,9,8,8,8,8,,9,8,8,9,9,,8,9,9,9,9,9,9,9,9,9,9,9,9,9
14828,7,7,,3,6,5,1,4,3,7,6,5,1,7,7,2,5,7,6,,2,4,8,6,5,2
25582,7,2,6,4,8,8,5,2,7,9,4,7,5,8,6,6,5,8,8,6,4,7,5,4,7,5
98715,8,5,3,7,3,2,1,5,3,2,6,4,5,9,8,7,9,8,9,7,7,9,7,9,6,5
94219,1,1,1,3,8,6,8,8,1,8,1,6,8,1,1,1,3,9,7,8,8,1,8,3,7,9
62151,9,9,3,9,3,5,1,,4,7,6,3,1,9,9,3,9,9,9,9,9,9,9,9,7,9
96466,6,6,6,6,8,5,3,6,6,8,7,6,5,9,9,9,9,9,9,9,9,9,9,9,9,9
51783,8,8,7,7,3,7,2,8,4,3,5,7,2,2,2,2,4,9,4,9,4,8,9,7,3,8
85528,5,5,1,5,3,7,1,5,3,7,5,3,3,7,9,7,9,9,9,5,7,9,9,7,9,5
93307,4,3,6,4,7,1,8,7,9,7,6,1,6,8,7,7,8,8,9,9,9,9,8,8,9,9
55435,7,8,4,3,8,3,2,5,3,8,2,8,2,9,9,9,9,9,9,9,9,9,9,9,9,9
40669,6,3,5,4,7,8,5,3,6,8,4,3,6,7,4,5,5,1,2,7,6,4,5,8,3,2
56486,9,9,2,7,2,4,4,5,8,8,8,4,1,9,9,6,6,5,7,5,6,9,9,9,7,4
81093,3,4,2,3,5,3,2,6,7,7,5,3,3,9,9,9,9,7,9,9,9,9,9,9,6,8
41207,9,9,3,5,8,6,3,4,8,9,9,3,3,8,9,6,6,9,9,6,7,6,9,8,6,6
40219,7,7,7,7,5,7,4,1,7,7,7,7,7,9,,9,9,9,9,9,9,9,,9,9,9
99517,4,6,8,5,8,2,8,7,3,4,7,3,3,7,8,7,8,7,8,7,8,8,7,8,7,8
70613,7,7,3,8,8,2,1,1,8,8,8,1,2,7,7,6,7,9,8,9,9,7,9,7,7,8
24660,9,9,9,5,7,6,3,5,7,7,7,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9
91856,9,9,9,9,6,9,6,6,9,9,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9
35029,2,1,6,5,3,3,1,4,5,7,5,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9
96498,3,7,1,7,7,7,1,3,6,7,7,2,2,7,8,8,9,9,9,9,9,9,9,9,3,9
14106,7,8,5,7,8,5,7,3,8,8,7,7,6,5,8,8,9,9,8,9,9,8,9,7,8,8
38032,8,8,4,8,8,4,2,2,8,8,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9
98225,3,8,1,6,6,6,1,6,8,6,6,1,1,7,7,1,9,9,9,9,9,9,9,7,2,9
24988,4,5,6,6,8,4,5,7,7,7,3,4,6,7,7,7,8,8,8,8,7,8,8,7,7,8
75599,7,7,2,6,1,8,3,4,7,6,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9
79241,9,9,7,3,9,2,2,6,9,6,7,7,5,9,9,9,9,9,9,9,9,9,9,9,9,9
89021,5,5,5,5,9,5,1,9,5,9,5,1,1,5,9,5,9,9,9,9,9,9,9,9,9,9
97534,7,7,5,7,6,5,3,5,7,7,7,5,5,7,7,7,7,8,7,8,8,7,7,8,5,7
14469,2,2,2,2,7,2,5,6,2,2,5,1,1,2,2,2,3,9,2,7,9,5,,1,1,1
79491,3,7,9,3,6,3,1,7,8,8,6,2,7,8,8,8,9,8,9,9,8,8,9,9,6,9
60964,7,3,8,6,8,8,8,6,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78297,,2,8,6,7,7,5,6,6,5,2,5,6,7,8,,7,8,7,8,7,8,8,8,5,7
88237,3,3,6,4,9,3,1,3,9,8,7,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9
71593,3,5,3,8,7,6,1,4,7,7,8,6,5,9,9,9,9,9,9,9,9,9,9,9,7,9
23345,3,4,1,5,7,2,4,3,7,9,2,1,1,5,5,6,9,9,,9,9,9,,9,6,4
69324,8,8,5,8,6,4,2,6,7,8,6,6,4,6,8,9,7,9,9,9,8,7,7,7,5,9
60524,8,7,6,5,5,4,2,3,2,7,5,3,3,9,9,8,8,7,9,7,6,5,6,7,6,6
44721,7,7,6,7,6,7,4,7,7,7,7,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8
15951,9,7,5,8,7,7,8,9,7,5,6,7,8,5,7,7,8,6,5,8,7,8,7,7,7,8
60859,6,5,4,7,9,7,7,6,4,8,5,9,9,8,7,7,9,9,9,9,,9,9,9,9,9
43340,4,5,3,5,4,3,2,2,4,4,4,3,2,5,5,6,8,6,4,6,3,8,5,6,3,3
77606,5,5,5,5,6,5,3,4,4,6,6,7,1,8,8,6,7,8,8,8,8,8,8,7,5,5
97643,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9
49058,5,8,3,5,8,6,2,7,7,9,5,7,7,7,7,7,7,9,8,8,8,8,9,7,7,9
19105,8,8,2,,7,3,4,3,2,7,7,2,1,9,8,5,7,8,8,8,8,6,8,9,3,1
46914,5,6,8,7,7,8,5,5,6,8,7,7,6,5,8,7,7,6,8,9,6,7,5,5,8,7
73708,2,2,1,5,4,6,2,6,4,5,4,4,6,8,8,6,9,9,9,7,9,9,9,9,5,8
18931,7,7,1,4,1,3,1,1,3,7,5,8,4,9,9,9,9,9,9,9,9,9,9,9,7,7
82934,5,4,2,3,2,2,1,2,8,3,7,5,1,7,7,7,7,5,7,3,3,9,5,9,5,1
46089,3,6,2,7,3,5,1,6,4,6,4,7,4,4,5,3,5,4,5,1,8,5,6,3,6,5
89233,7,7,4,5,7,6,3,6,8,8,8,6,2,7,7,5,8,7,7,7,8,7,7,6,7,5
82638,6,6,5,5,6,6,4,6,5,6,6,8,7,6,5,6,6,7,7,3,6,5,5,6,8,7
70170,5,7,4,5,7,3,2,3,6,7,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9
41729,3,5,3,4,8,5,7,8,6,8,3,6,7,4,6,4,6,8,7,7,7,7,9,3,6,9
70385,3,5,1,5,9,7,9,9,6,9,7,4,5,7,9,1,9,9,9,9,9,9,9,9,9,9
16447,9,9,5,9,9,9,1,8,6,2,7,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9
75097,9,8,3,6,8,5,,2,7,8,7,5,4,7,8,9,9,8,9,9,9,9,9,8,8,8
26891,8,9,6,8,4,8,4,5,8,4,7,5,4,9,9,9,9,9,9,9,9,9,9,9,9,9
56450,9,4,6,1,5,2,1,6,,9,7,1,1,9,9,8,6,6,8,3,6,9,9,9,2,1
76459,9,8,4,6,2,4,1,3,8,9,8,1,1,9,9,7,9,8,9,7,9,9,9,8,6,6
85714,1,2,6,7,6,2,8,8,6,7,3,3,9,8,7,7,8,7,7,6,7,8,7,7,8,9
79626,2,2,2,2,4,2,6,5,5,7,2,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8
55482,6,6,7,6,9,,8,8,8,6,6,7,8,7,7,9,7,8,8,9,9,8,7,7,6,7
28242,8,8,5,6,8,7,2,4,9,9,8,2,2,9,7,8,8,9,8,6,7,9,9,9,5,6
11883,5,5,4,6,5,5,3,6,6,7,6,3,3,6,6,5,8,8,7,7,5,6,7,7,3,5
60905,6,6,6,6,7,6,5,5,4,4,5,5,5,9,9,9,9,7,9,8,9,8,8,9,7,9
32941,4,8,9,3,2,2,1,2,2,3,4,6,7,8,9,8,9,9,8,7,9,9,9,9,8,8
32718,8,6,5,8,,7,7,6,8,7,9,9,5,8,8,6,9,9,9,7,7,9,9,8,8,7
96548,7,7,7,8,9,6,8,5,6,8,7,7,8,7,7,8,6,7,7,8,8,6,8,8,7,8
80834,7,6,5,3,4,4,1,6,7,9,7,4,2,9,9,5,4,9,8,3,9,9,9,9,6,5
29380,6,8,1,5,3,8,9,9,8,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9
34611,8,7,5,6,4,3,3,4,3,2,6,7,3,9,9,8,8,9,9,8,9,8,9,7,7,9
15035,7,7,6,7,8,7,2,7,6,7,7,3,3,7,7,6,7,9,9,9,9,9,9,9,8,7
32541,5,6,8,6,5,5,7,8,6,6,6,3,6,5,6,9,8,9,8,8,9,8,7,7,5,8
61290,3,3,5,3,3,3,6,4,6,7,4,5,2,6,6,7,6,6,6,7,7,7,8,7,7,6
96054,7,5,8,2,7,7,6,7,7,6,7,7,9,7,8,8,7,7,8,8,8,6,7,5,7,7
64689,9,9,9,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
48493,8,8,5,8,3,6,1,5,6,7,7,8,4,9,9,9,9,8,8,8,8,8,8,9,6,8
23969,7,7,1,3,1,3,1,1,5,5,6,3,1,9,9,1,6,1,6,1,6,9,9,9,7,6
88655,9,9,9,9,9,9,9,1,1,1,1,9,9,,9,9,9,9,9,9,9,9,9,9,5,9
76753,8,8,5,7,8,8,4,4,9,8,7,6,3,9,9,6,9,9,9,5,8,9,9,9,7,5
61112,8,6,5,7,8,5,2,2,7,7,7,6,5,9,9,9,9,9,9,9,9,9,9,9,8,9
51713,9,9,5,9,1,9,1,1,9,5,9,9,1,9,9,5,9,5,9,5,5,9,5,9,9,1
97282,8,8,5,8,7,7,4,5,5,7,7,1,1,9,9,9,9,9,9,9,9,9,9,9,,9
96898,4,4,3,4,7,2,1,2,6,7,6,7,2,7,7,9,9,9,8,9,9,8,9,9,7,8
35349,4,6,2,6,8,3,9,8,4,9,2,6,6,6,8,4,8,9,8,8,8,6,8,6,7,8
78546,9,9,5,9,7,9,1,1,7,7,9,,1,9,9,5,9,9,9,6,6,9,9,9,9,1
42614,7,7,3,8,8,8,1,2,7,9,9,9,7,8,8,6,9,9,9,9,9,9,9,8,8,9
87930,7,9,5,8,9,7,4,4,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9
42978,7,8,3,8,6,7,1,6,8,9,7,7,2,,,,,,,,,,,,,
